symbol,code,name,current,percent,high52w,low52w,marketcapital,amount,volume,pe_ttm
SZ300295,SZ300295,三六五网,14.05,-2.02,24.24,11.61,2664072682.0,644591956.75,44832351,
SZ300296,SZ300296,利亚德,6.01,-3.69,9.1576,4.7804,16298983104.0,361882784.5,59411745,
SZ300298,SZ300298,三诺生物,17.74,-2.04,28.8719,17.67,9939142008.0,122630801.42,6858430,35.251
SZ300299,SZ300299,富春股份,7.77,8.82,9.28,4.53,5363631660.0,1702650655.59,211510209,
SZ300300,SZ300300,海峡创新,14.59,-20.01,18.24,2.4,9729298635.0,3638362022.09,227157351,240.351
SZ300301,SZ300301,ST长方,2.38,-5.18,2.79,1.57,1975087670.0,39660316.0,16344300,
SZ300302,SZ300302,同有科技,18.66,-7.62,25.87,12.51,8943062471.0,489934424.18,25971435,
SZ300303,SZ300303,聚飞光电,6.21,-4.02,7.75,4.8056,8790910323.0,168195313.78,26671051,27.291
SZ300304,SZ300304,云意电气,10.8,-2.35,15.6263,6.1278,9483952154.0,164779915.91,15092047,22.312
SZ300305,SZ300305,裕兴股份,6.3,-6.67,7.23,4.36,2365021840.0,81530747.0,12739800,
SZ300306,SZ300306,远方信息,13.26,2.63,14.6132,9.015,3566393396.0,232051520.62,17527962,40.871
SZ300307,SZ300307,慈星股份,7.78,0.91,11.2379,6.725,6179255477.0,344331382.8,44233555,64.439
SZ300308,SZ300308,中际旭创,464.01,-5.69,542.01,66.8627,515570018159.0,19479251603.5,41412280,60.295
SZ300310,SZ300310,宜通世纪,6.26,-1.73,12.1,4.99,5519182404.0,391584076.43,62449749,
SZ300311,SZ300311,ST任子行,4.76,-4.8,8.94,4.49,3206479514.0,82784987.3,17078081,
SZ300313,SZ300313,*ST天山,9.33,-0.74,11.8,4.34,2920079105.0,71072877.56,7476992,
SZ300314,SZ300314,戴维医疗,12.91,-4.86,17.4,10.0003,3718080000.0,64804393.06,4926249,55.849
SZ300315,SZ300315,掌趣科技,5.03,-1.37,7.27,4.21,13619283345.0,322326000.95,63609717,
SZ300316,SZ300316,晶盛机电,34.09,-3.7,48.88,25.68,44642007140.0,539057292.07,15648921,99.001
SZ300317,SZ300317,珈伟新能,3.94,-7.73,4.99,2.9,3270942316.0,187445334.19,46437800,
SZ300318,SZ300318,博晖创新,6.58,-2.95,8.63,5.14,5375205257.0,293659730.65,43818736,
SZ300319,SZ300319,麦捷科技,11.29,-4.4,14.1426,8.5053,9924992282.0,255703621.7,22339722,29.442
SZ300320,SZ300320,海达股份,9.61,-6.88,12.2125,8.3176,5777860576.0,169915613.0,17186500,27.275
SZ300321,SZ300321,同大股份,45.85,-4.04,48.99,17.9739,4071480000.0,74055544.0,1587200,511.234
SZ300322,SZ300322,硕贝德,20.09,-6.9,30.95,9.59,9242166494.0,423068746.93,20600352,
SZ300323,SZ300323,华灿光电,7.3,-4.33,10.93,5.33,11847891218.0,173554671.96,23532406,
SZ300324,SZ300324,旋极信息,5.39,-6.42,8.35,2.94,9311713307.0,472956236.99,85859277,
SZ300326,SZ300326,ST凯利,5.65,-4.07,8.22,3.48,4051121653.0,64136257.0,11144840,
SZ300327,SZ300327,中颖电子,26.1,-7.25,30.48,18.5758,8909761489.0,519948468.17,19442026,88.034
SZ300328,SZ300328,宜安科技,14.81,-3.58,22.05,6.71,10225173516.0,411710893.61,27514028,
SZ300329,SZ300329,海伦钢琴,16.6,-6.48,19.25,4.5638,4197953748.0,149891954.5,8815750,
SZ300331,SZ300331,苏大维格,30.7,-3.25,42.29,14.77,7971632180.0,385349922.21,12447091,
SZ300332,SZ300332,天壕能源,5.54,-6.42,6.95,4.0,4792747537.0,200045992.43,35355707,53.876
SZ300333,SZ300333,兆日科技,11.32,-4.79,21.97,8.66,3803520000.0,149835747.4,12984669,
SZ300334,SZ300334,津膜科技,7.42,-4.87,8.28,5.01,2241324942.0,149702202.13,19686801,92.341
