symbol,code,name,current,chg,percent,last_close,open,high,low,volume,amount,marketcapital,pe_ttm,high52w,low52w,hasexist,stock_type,crawl_time
SH600184,SH600184,光电股份,17.2,0.11,0.64,17.09,16.99,17.69,16.3,16707546,283954421.0,10022912450.0,0.0,25.0,9.24,false,sha,2025-11-22 12:31:53
SH600185,SH600185,珠免集团,6.73,-0.27,-3.86,7.0,6.9,7.0,6.73,45326362,311097572.0,12686089000.0,0.0,9.18,5.4,false,sha,2025-11-22 12:31:53
SH600186,SH600186,莲花控股,5.44,-0.22,-3.89,5.66,5.61,5.67,5.4,55526500,304945567.0,9754502847.0,33.607,8.2,4.23,false,sha,2025-11-22 12:31:53
SH600187,SH600187,国中水务,2.66,-0.12,-4.32,2.78,2.76,2.78,2.65,38387468,103564147.0,4292657734.0,232.777,4.6,2.65,false,sha,2025-11-22 12:31:53
SH600188,SH600188,兖矿能源,13.96,-0.23,-1.62,14.19,14.15,14.25,13.93,31731653,446093333.0,140123228394.0,14.235,15.91,11.2527,false,sha,2025-11-22 12:31:53
SH600189,SH600189,泉阳泉,7.06,-0.22,-3.02,7.28,7.24,7.37,7.06,15434700,110711416.0,5049296553.0,537.36,8.76,6.12,false,sha,2025-11-22 12:31:53
SH600191,SH600191,华资实业,10.89,0.44,4.21,10.45,10.55,11.29,10.5,53909255,584240692.0,5280909480.0,134.347,11.29,5.85,false,sha,2025-11-22 12:31:53
SH600192,SH600192,长城电工,9.0,-0.34,-3.64,9.34,9.32,9.32,8.88,11884218,107612890.0,3975732000.0,0.0,12.9,5.07,false,sha,2025-11-22 12:31:53
SH600193,SH600193,*ST创兴,3.96,-0.19,-4.58,4.15,4.13,4.13,3.94,11211300,45056776.0,1684477080.0,0.0,5.39,2.62,false,sha,2025-11-22 12:31:53
SH600195,SH600195,中牧股份,7.59,-0.25,-3.19,7.84,7.78,7.88,7.56,13265835,102002082.0,7750515293.0,36.143,8.26,5.9216,false,sha,2025-11-22 12:31:53
SH600196,SH600196,复星医药,26.82,-0.47,-1.72,27.29,27.25,27.5,26.75,16871627,456261441.0,71620914497.0,21.819,33.1,22.4883,false,sha,2025-11-22 12:31:53
SH600197,SH600197,伊力特,14.3,-0.42,-2.85,14.72,14.68,14.82,14.29,5736319,83033455.0,6766398453.0,37.176,18.6558,13.6111,false,sha,2025-11-22 12:31:53
SH600198,SH600198,大唐电信,8.42,0.19,2.31,8.23,8.11,8.8,8.06,48011853,404008752.0,10976341815.0,159.385,14.19,6.68,false,sha,2025-11-22 12:31:53
SH600199,SH600199,金种子酒,9.99,-0.34,-3.29,10.33,10.24,10.44,9.98,15961042,161620675.0,6571390272.0,0.0,15.68,9.51,false,sha,2025-11-22 12:31:53
SH600200,SH600200,*ST苏吴,1.12,0.05,4.67,1.07,1.02,1.12,1.02,67181662,73542372.0,796185018.0,0.0,10.78,0.88,false,sha,2025-11-22 12:31:53
SH600201,SH600201,生物股份,11.76,-0.6,-4.85,12.36,12.18,12.22,11.59,49183880,583352507.0,13074154434.0,129.759,12.45,6.2172,false,sha,2025-11-22 12:31:53
SH600202,SH600202,哈空调,5.88,-0.43,-6.81,6.31,6.24,6.36,5.88,15845700,95546044.0,2254043151.0,0.0,6.67,4.0231,false,sha,2025-11-22 12:31:53
SH600203,SH600203,福日电子,12.6,-0.84,-6.25,13.44,13.08,13.28,12.58,46419505,595246792.0,7471649833.0,0.0,19.07,6.8871,false,sha,2025-11-22 12:31:53
SH600206,SH600206,有研新材,19.28,-0.8,-3.98,20.08,19.81,20.0,19.21,23540989,459599724.0,16321548241.0,58.612,25.5749,13.2548,false,sha,2025-11-22 12:31:53
SH600207,SH600207,安彩高科,4.89,-0.41,-7.74,5.3,5.23,5.28,4.89,38164258,192052820.0,5326738389.0,0.0,6.28,3.4,false,sha,2025-11-22 12:31:53
SH600208,SH600208,衢州发展,3.91,-0.12,-2.98,4.03,4.0,4.04,3.91,73705898,291729440.0,33269958528.0,0.0,6.03,2.49,false,sha,2025-11-22 12:31:53
SH600210,SH600210,紫江企业,7.12,-0.28,-3.78,7.4,7.37,7.37,7.08,45938312,330307190.0,10799161445.0,8.661,8.33,5.4493,false,sha,2025-11-22 12:31:53
SH600211,SH600211,西藏药业,41.89,-2.49,-5.61,44.38,44.18,44.58,41.64,6965320,298592335.0,13501951120.0,13.761,57.98,33.1075,false,sha,2025-11-22 12:31:53
SH600212,SH600212,绿能慧充,7.75,-0.23,-2.88,7.98,7.9,8.05,7.65,18866800,147584570.0,5458070901.0,177.879,10.42,6.48,false,sha,2025-11-22 12:31:53
SH600215,SH600215,派斯林,6.87,-0.34,-4.72,7.21,7.15,7.2,6.82,13435400,93717621.0,3138785386.0,0.0,10.7098,6.1684,false,sha,2025-11-22 12:31:53
SH600216,SH600216,浙江医药,13.84,-0.38,-2.67,14.22,14.19,14.22,13.82,13394000,187189437.0,13309066460.0,10.699,16.88,11.325,false,sha,2025-11-22 12:31:53
SH600217,SH600217,中再资环,4.08,-0.2,-4.67,4.28,4.28,4.29,4.07,34190410,141867320.0,6763226986.0,0.0,6.32,4.07,false,sha,2025-11-22 12:31:53
SH600218,SH600218,全柴动力,11.05,-0.02,-0.18,11.07,10.76,11.87,10.61,56788645,640369001.0,4813379105.0,53.188,11.93,6.841,false,sha,2025-11-22 12:31:53
SH600219,SH600219,南山铝业,4.75,-0.18,-3.65,4.93,4.85,4.88,4.74,266822984,1279656122.0,55164936528.0,10.791,5.45,3.0709,false,sha,2025-11-22 12:31:53
SH600221,SH600221,海航控股,1.69,-0.08,-4.52,1.77,1.75,1.76,1.69,652296065,1123736561.0,73034418984.0,0.0,2.08,1.27,false,sha,2025-11-22 12:31:53
SH600222,SH600222,太龙药业,7.18,-0.26,-3.49,7.44,7.3,7.46,7.07,27026606,195473420.0,4120503512.0,87.754,8.27,4.51,false,sha,2025-11-22 12:31:53
SH600223,SH600223,福瑞达,7.82,-0.09,-1.14,7.91,7.84,7.95,7.64,21896627,169959662.0,7949567821.0,37.129,9.3527,6.4139,false,sha,2025-11-22 12:31:53
SH600226,SH600226,亨通股份,4.22,-0.21,-4.74,4.43,4.33,4.44,4.16,76101471,323947115.0,12551888765.0,65.811,5.04,2.27,false,sha,2025-11-22 12:31:53
SH600227,SH600227,赤天化,2.45,-0.16,-6.13,2.61,2.59,2.61,2.43,36033516,90690452.0,4137382828.0,0.0,3.33,1.85,false,sha,2025-11-22 12:31:53
SH600228,SH600228,*ST返利,6.46,-0.34,-5.0,6.8,6.81,6.81,6.46,12365701,80277048.0,2691703878.0,0.0,9.17,2.95,false,sha,2025-11-22 12:31:53
SH600229,SH600229,城市传媒,6.82,-0.17,-2.43,6.99,6.93,7.06,6.74,7786600,53523544.0,4506027087.0,0.0,8.5066,5.8427,false,sha,2025-11-22 12:31:53
SH600230,SH600230,沧州大化,11.86,-0.91,-7.13,12.77,12.71,12.74,11.85,14460640,176136948.0,4909577638.0,90.706,16.45,8.935,false,sha,2025-11-22 12:31:53
SH600231,SH600231,凌钢股份,2.3,-0.16,-6.5,2.46,2.42,2.44,2.3,35369015,83526340.0,6554129728.0,0.0,2.65,1.46,false,sha,2025-11-22 12:31:53
SH600232,SH600232,金鹰股份,6.7,-0.46,-6.42,7.16,7.17,7.2,6.65,13918760,95178600.0,2443614245.0,0.0,9.0773,4.3508,false,sha,2025-11-22 12:31:53
SH600233,SH600233,圆通速递,16.81,0.14,0.84,16.67,16.56,17.11,16.21,35758985,599199122.0,57532894811.0,14.533,20.57,11.6423,false,sha,2025-11-22 12:31:53
